oracle_joint,oracle_dec,oracle_delta,oracle_pct,est_joint,est_dec,est_delta,est_pct,pehe_joint,pehe_dec,lambda,seed
72.98748502525795,65.97805757777628,7.00942744748167,9.603601829897272,28.140187863292347,28.29548374697125,-0.15529588367890312,-0.5518651276720148,14.114429795062346,10.888840328076684,0.0,14
72.58746952856717,65.2194120417354,7.368057486831773,10.150591465283188,27.78636933008413,27.820027441618425,-0.033658111534293766,-0.12113173597621599,14.097994436059048,10.894846013127552,0.0,15
73.4879236646691,66.54158335414357,6.946340310525528,9.45235620239075,28.232636243079718,28.210651596511596,0.02198464656812149,0.07786962003419107,14.277878154429214,11.098939715067985,0.0,16
72.67452837711134,65.59084906322867,7.083679313882669,9.747128013167343,27.873043555566518,28.002307787108833,-0.12926423154231514,-0.463760734577189,14.13138453568216,10.925974858383835,0.0,17
72.9369551246379,65.81187473362158,7.125080391016326,9.768820728587684,28.04974411223291,28.261829486621444,-0.2120853743885327,-0.756104489010433,14.170858662557581,10.969054807825215,0.0,18
72.95154862126992,65.87126635310983,7.08028226816009,9.70545848850664,27.990333439760033,28.118809731474773,-0.1284762917147404,-0.45900236233785235,14.201084682217916,10.98420209628967,0.0,19
73.3716954952525,66.51531810986359,6.85637738538891,9.3447171134713,28.391422443630336,28.35454642606696,0.036876017563375996,0.12988436080154622,14.09255260390804,10.866054230420383,0.25,0
73.23623078809638,66.0726378963066,7.163592891789776,9.781487679939595,28.32817405369616,28.350895563440186,-0.022721509744027202,-0.08020816908621958,14.343537824361292,11.166803661014507,0.25,1
73.84294157004673,66.46685896934673,7.376082600700002,9.988879700442483,28.548299463979173,28.590019650788925,-0.041720186809751425,-0.1461389560607345,14.243698036866917,11.037374369044477,0.25,2
73.42811498145419,66.39105795358277,7.037057027871413,9.583600273068114,28.158582290145468,28.348606585300136,-0.190024295154668,-0.6748361589964349,14.099862407049772,10.874946733219641,0.25,3
73.5103916121838,66.39375949267405,7.116632119509745,9.681123938306182,28.279791012270486,28.351780269168813,-0.07198925689832691,-0.2545607811142985,14.089238096627097,10.863158918763347,0.25,4
73.512415529801,66.28647039612703,7.225945133673974,9.829557472158791,28.360076323518733,28.316568104710495,0.0435082188082383,0.1534136167756268,14.124876823150478,10.888325086734257,0.25,5
74.10255936084444,66.65390780947538,7.448651551369053,10.051814155429694,28.664809498539068,28.58119305917159,0.08361643936747853,0.29170415164189434,14.178597989164532,10.950904160018524,0.25,6
73.67187359347285,66.20716630310717,7.464707290365681,10.132370640600941,28.41544151135708,28.50666845150588,-0.0912269401488004,-0.321047062078338,14.24247174008667,11.046793264336873,0.25,7
73.47286107916078,66.3456790333343,7.127182045826473,9.700428077991326,28.51142906076453,28.293664844103187,0.21776421666134382,0.7637786804626218,14.016717045738991,10.759365187335588,0.25,8
73.39386587636608,66.33024355234639,7.06362232401969,9.62426796800505,28.21967836356138,28.230485546317546,-0.010807182756167322,-0.03829661917806293,14.093865258993588,10.841078469620236,0.25,9
73.06201199442917,65.87169379104668,7.190318203382489,9.841390904935299,28.363633902333152,28.248250502621207,0.11538339971194489,0.40680048300317967,14.020387983040706,10.777895620751277,0.25,10
73.17699686579371,66.06144703375871,7.115549832035001,9.723752185519292,28.22260027719591,28.189536216670646,0.03306406052526256,0.11715455061020225,13.986170766563896,10.725170551957573,0.25,11
72.98130342316549,65.76665945466507,7.214643968500411,9.885605806007518,28.169091540514124,28.36215880393754,-0.19306726342341562,-0.6853869005528174,14.071702325925429,10.824818510291042,0.25,12
73.57689606085964,66.33763569131582,7.239260369543814,9.839040183967274,28.34853906630869,28.39619181821724,-0.04765275190855078,-0.16809597064980508,14.006902173998489,10.746718227045633,0.25,13
73.67876938729677,66.47384938224972,7.204920005047043,9.778827829186396,28.547881467706347,28.55538602836633,-0.007504560659981507,-0.026287627221903462,14.159200053704005,10.938682121900262,0.25,14
73.31745314218296,65.73121127384806,7.586241868334895,10.34711592289364,28.197634971927002,28.09045287385937,0.10718209806763213,0.38011024036001767,14.131204482608336,10.929707116584282,0.25,15
74.2528613337996,67.07277519460054,7.180086139199062,9.669777043232564,28.58846724113506,28.56806971437114,0.020397526763918705,0.07134879457465049,14.307183663790264,11.116575622032633,0.25,16
73.42023904856957,66.06321688649413,7.357022162075438,10.02042796020939,28.32660608359083,28.22573694682453,0.10086913676629905,0.35609326605749286,14.176533831242507,10.971520722910352,0.25,17
73.68766361951246,66.31327255470612,7.374391064806346,10.007633167587105,28.532786103643208,28.252455243979828,0.2803308596633798,0.982486808841937,14.216271559707538,11.013698111699645,0.25,18
73.70538781623614,66.36918942362107,7.336198392615074,9.95340857700368,28.31600990889236,28.402058536049218,-0.08604862715685613,-0.3038868379892515,14.24630980892922,11.032578486027434,0.25,19
74.48584583929328,67.11344027643298,7.372405562860294,9.89772684969787,29.16455784905141,28.635962785825804,0.5285950632256053,1.8124569759002815,14.175579970867489,10.933490041541889,0.5,0
74.37134251044628,66.61559550222854,7.755747008217739,10.428407967932483,28.734936237104897,28.60566733694118,0.12926890016371573,0.449866667867504,14.438835780143997,11.249653342132813,0.5,1
74.9910287294395,67.05846294726673,7.932565782172773,10.578019686585066,28.990280001408482,28.857106523185188,0.13317347822329495,0.459372859512998,14.352754816160694,11.136157641357022,0.5,2
74.49092971029721,66.99172336350557,7.499206346791638,10.0672744667798,28.76944702628595,28.635050380488682,0.13439664579726696,0.4671506048568538,14.180076768357731,10.938814117080229,0.5,3
74.66097317063964,67.02189568310125,7.639077487538387,10.231687537850695,28.922827822397828,28.59660234636793,0.32622547602989727,1.127916945165605,14.173805954951035,10.93310061631036,0.5,4
74.59187747414873,66.84441908154733,7.747458392601402,10.386463854977286,28.829609939218862,28.632810358833545,0.19679958038531709,0.6826300487596862,14.215916758965436,10.960224810034497,0.5,5
75.15923813078453,67.21559864530852,7.943639485476012,10.569079308192682,29.099689022637282,28.891830488315566,0.20785853432171564,0.7142981293030931,14.268507286766466,11.028812673099084,0.5,6
74.81666080182707,66.86096764633392,7.955693155493151,10.63358491307977,29.022386858092084,28.901121037555743,0.12126582053634039,0.41783544933530786,14.345415092155056,11.137516896214361,0.5,7
