oracle_joint,oracle_dec,oracle_delta,oracle_pct,est_joint,est_dec,est_delta,est_pct,pehe_joint,pehe_dec,beta,seed
84.15914768336688,74.69351676414503,9.465630919221852,11.247298932772615,12.884823764070683,12.502498689033873,0.38232507503681035,2.9672511012756213,14.297951351634362,11.016573289870458,0.2,12
84.26305399864154,75.56003818530999,8.703015813331547,10.32838877816113,12.871727315208526,12.38175659306021,0.48997072214831583,3.806565429407391,14.193724038848197,10.8896386968299,0.2,13
85.20518259468372,75.37262450110089,9.832558093582833,11.539859189499964,13.132382109930942,12.413873227772939,0.7185088821580035,5.471276087943361,14.40624617126678,11.148535887450025,0.2,14
84.30139990127708,74.86733085788136,9.434069043395723,11.190880643077918,12.950494640938995,12.460909419892705,0.48958522104629054,3.7804364591497364,14.349331358087433,11.100720438446487,0.2,15
86.02548499941102,76.78665444340935,9.238830556001673,10.739643671947828,13.126822511671595,12.59976787554105,0.5270546361305453,4.015096842072173,14.516141964142564,11.278422408587849,0.2,16
84.78850751464007,75.0500406581575,9.738466856482574,11.485597685277188,13.01037150830412,12.390400079088206,0.619971429215914,4.765209270313344,14.415455028182231,11.167431474248676,0.2,17
84.96462293247212,75.68612407417154,9.27849885830058,10.920426099783802,13.041511079867817,12.416751214440374,0.6247598654274427,4.790548132048015,14.454040458794482,11.217012951440712,0.2,18
85.41682722273505,75.46620985802245,9.950617364712599,11.649481358942449,13.132305694422984,12.651605333590691,0.4807003608322926,3.66044144888004,14.4828770672711,11.234049633016697,0.2,19
78.31980957672323,69.87298237327741,8.446827203445821,10.7850456341715,24.69921176781186,23.736164300313014,0.9630474674988463,3.8991020302676005,14.31249157069334,11.04086422157271,0.4,0
78.3628846805452,69.5214619692535,8.841422711291713,11.282666210329968,24.56018943070845,23.586303585030585,0.9738858456778665,3.9653026635868835,14.585332160000467,11.371262771217271,0.4,1
78.98367708569693,69.8204697508794,9.163207334817528,11.601393696669112,24.501187857546537,23.660854093272246,0.8403337642742912,3.429767442950577,14.510341678238202,11.27248367918567,0.4,2
78.22826736186543,69.76082822480508,8.467439137060353,10.824014672205362,24.214748955498873,23.53249359498835,0.6822553605105242,2.817519858514132,14.30750818864757,11.043297603728476,0.4,3
78.45436346762344,69.77729690629245,8.677066561330989,11.060017796093447,24.298088426966373,23.473721030392188,0.8243673965741856,3.392725312742259,14.304011991871489,11.038196682386998,0.4,4
78.44415743603292,69.81536388073324,8.62879355529968,10.999918715853383,24.563694062384553,23.620689863617585,0.9430041987669675,3.8390162178865053,14.354317051879248,11.066659310863509,0.4,5
78.99164974762495,70.0658849655212,8.925764782103741,11.29963079720602,24.539620058645333,23.846649644836106,0.6929704138092276,2.82388403794823,14.404587538494612,11.142330670225308,0.4,6
78.82906546209797,69.91060588612625,8.918459575971724,11.313669042873322,24.770616435446335,23.828983144383916,0.9416332910624199,3.801412425550131,14.502526037554729,11.269221510167094,0.4,7
78.32427041407566,69.56325679263077,8.761013621444889,11.185566842982615,24.42685330421958,23.563631656430108,0.863221647789473,3.5339044167443254,14.21467166471088,10.907748219516963,0.4,8
