seed,exploration,min_logged_propensity,pct_logged_prop_lt_0p01,true_joint_irc,true_decoupled_irc,true_joint_advantage,dm_joint_ope,dr_joint_ope,dm_decoupled_ope,dr_decoupled_ope,abs_error_dm_joint,abs_error_dr_joint
4,0.5,0.016666666683423356,0.0,28.779318697150934,27.276623840056658,1.5026948570942764,32.331775918483736,29.602783597766123,29.360302478313447,29.181633931604278,3.5524572213328014,0.8234649006151891
4,0.25,0.00833333335846837,6.950000000000001,28.384077478502498,27.07700147372222,1.3070760047802779,31.773800590515137,26.312489835088503,28.614476770401,25.26700623454037,3.389723112012639,2.071587643413995
4,0.1,0.0033333333634953783,7.95,28.266538065160805,27.236112500869677,1.0304255642911286,32.42084913110733,28.239200019706537,29.392558598041536,28.586419584218646,4.154311065946526,0.02733804545426821
5,0.5,0.016666666683423356,0.0,28.413653342535873,27.30792311039925,1.1057302321366222,31.379642567634583,29.173841202661503,28.561522258758544,28.680072319442043,2.96598922509871,0.7601878601256296
5,0.25,0.00833333335846837,8.4,28.206533484705847,27.558446512445673,0.6480869722601739,31.8656358165741,29.089787578118674,28.43018290233612,26.90652830823877,3.659102331868251,0.8832540934128268
5,0.1,0.0033333333634953783,7.3999999999999995,28.150102271440957,27.159703652577225,0.9903986188637326,31.871543623924257,25.967295228604716,28.533592677116395,25.132497212930918,3.7214413524833,2.1828070428362416
6,0.5,0.016666666669571582,0.0,28.955352173811445,27.798667278303007,1.1566848955084374,31.184953218460084,29.72745656291728,28.19715901851654,28.86157020288349,2.229601044648639,0.7721043891058343
6,0.25,0.008333333337690707,7.3999999999999995,28.78748652934398,27.734252637063342,1.0532338922806375,31.96083524465561,26.979250986446708,29.009372730731965,26.5040846848654,3.1733487153116293,1.8082355428972718
6,0.1,0.003333333338562183,7.249999999999999,28.265833010577797,27.52306711612252,0.7427658944552782,32.7345082116127,29.16153591472628,27.857780682086943,27.102978175367767,4.468675201034902,0.8957029041484823
7,0.5,0.01666666740729336,0.0,28.177967856835856,27.661540982668598,0.5164268741672586,31.510035428524017,28.4743277976944,28.485226541042326,27.475933003577794,3.3320675716881603,0.2963599408585438
7,0.25,0.00833333444427337,7.75,28.726087262717364,27.56308925053687,1.1629980121804948,33.543352269172665,29.5606963376495,29.822730871200562,28.342161147732273,4.817265006455301,0.8346090749321355
7,0.1,0.003333334666461377,7.625,28.373497028442074,27.65797219662118,0.7155248318208933,33.44946257925034,26.61655660356499,30.136136958599092,23.775453823034326,5.075965550808263,1.756940424877083
8,0.5,0.016666666838978845,0.0,28.483071444475485,27.787572668915345,0.6954987755601394,32.12444100093842,27.45696289396379,29.045528142929076,29.80040946569603,3.6413695564629336,1.0261085505116938
8,0.25,0.0083333335918016,7.2749999999999995,28.626836128208314,27.362621652301787,1.2642144759065275,32.696478322029115,28.595070887877295,28.828693758010864,26.00193651360874,4.069642193820801,0.03176524033101913
8,0.1,0.003333333643495254,7.3,28.531847618515545,27.05571324151336,1.476134377002186,32.85063497686386,30.66938916497634,29.01870585680008,27.48582088817946,4.318787358348313,2.1375415464607954
9,0.5,0.016666666669571582,0.0,28.35428269000565,27.48601921256328,0.868263477442369,31.17312106847763,27.152205810557433,28.349683110713958,27.178204174143346,2.8188383784719804,1.2020768794482173
9,0.25,0.008333333337690707,8.425,28.105228457197324,27.508828076291802,0.5964003809055214,32.07949604511261,28.964782951235723,29.47340096950531,27.682775161581358,3.974267587915289,0.8595544940383988
9,0.1,0.003333333338562183,7.249999999999999,28.187279225063442,26.94632165150188,1.2409575735615626,32.38351084041595,26.47626197857649,28.201972240447997,27.023745915879694,4.196231615352509,1.7110172464869535
10,0.5,0.016666666683423356,0.0,27.644936698806074,26.488990215646513,1.1559464831595605,31.011749108314515,26.460893288276853,27.448473979949952,26.87052888997493,3.366812409508441,1.1840434105292204
10,0.25,0.00833333335846837,7.1499999999999995,27.92878099029299,26.75820958760432,1.1705714026886689,32.24018615484238,30.035794289168663,28.88820053625107,27.85166689297599,4.311405164549388,2.1070132988756747
10,0.1,0.0033333333634953783,7.475,28.09064391551106,26.907307200005604,1.1833367155054546,32.54177301311493,27.470136183123444,29.114087425231933,25.799249473777024,4.451129097603868,0.6205077323876154
11,0.5,0.016666666687685745,0.0,28.06758386949938,27.229660568720828,0.8379233007785523,30.954456833839416,28.752595522765667,28.41648093032837,26.63915117224175,2.8868729643400357,0.6850116532662867
11,0.25,0.00833333336486195,7.35,27.93249237876887,27.02584459783447,0.9066477809343993,32.02401229763031,27.708417634402714,29.46851679611206,30.035081583606264,4.091519918861437,0.22407474436615615
11,0.1,0.003333333371167674,6.875000000000001,27.909949207695607,26.814947127663704,1.0950020800319038,32.031173075675966,31.56943686052217,28.57562591934204,29.833457084794837,4.121223867980358,3.659487652826563
