bootstrap,lambda,n_train_draws,n_train_unique,n_oob,irc_joint_week,irc_decoupled_week,delta_week,delta_year
37,0.75,480,357,444,0.7388404617010814,-0.0413869380267085,0.78022739972779,40.57182478584508
37,1.0,480,357,444,0.9867743380410208,0.08298189623615443,0.9037924418048664,46.997206973853054
38,0.0,480,364,437,0.14176329657821646,-0.031149779307643816,0.17291307588586027,8.991479946064734
38,0.25,480,364,437,0.3220369029766174,-0.05647241019355656,0.37850931317017394,19.682484284849046
38,0.5,480,364,437,0.5972259049751155,0.03907235114349788,0.5581535538316178,29.023984799244126
38,0.75,480,364,437,0.827410234916534,-0.04263053493953461,0.8700407698560686,45.242120032515565
38,1.0,480,364,437,1.0270814317225587,0.00527579549078297,1.0218056362317758,53.13389308405234
39,0.0,480,362,439,0.22201995352442658,0.021633348406818718,0.20038660511760786,10.42010346611561
39,0.25,480,362,439,0.35906653866689536,-0.057105664232692525,0.41617220289958795,21.640954550778574
39,0.5,480,362,439,0.5289143091500546,-0.07146876536335177,0.6003830745134063,31.21991987469713
39,0.75,480,362,439,0.6909371172760683,-0.055575168103119035,0.7465122853791873,38.81863883971774
39,1.0,480,362,439,0.970280558432699,-0.11706780067508636,1.0873483591077857,56.54211467360486
40,0.0,480,348,453,0.16471605016272092,0.06294789288438178,0.10176815727833911,5.291944178473634
40,0.25,480,348,453,0.34543908492769154,-0.0062817420542415,0.35172082698193297,18.289483003060514
40,0.5,480,348,453,0.6090806437073988,-0.0700650374372537,0.6791456811446525,35.31557541952193
40,0.75,480,348,453,0.7284955639644096,-0.0008268090829174173,0.7293223730473272,37.92476339846101
40,1.0,480,348,453,1.0959368155568325,0.017433810037866305,1.078503005518966,56.082156286986226
41,0.0,480,368,433,0.15802808094039378,-0.012833922847001309,0.1708620037873951,8.884824196944546
41,0.25,480,368,433,0.4134662384735619,-0.04813283605303817,0.46159907452660004,24.003151875383203
41,0.5,480,368,433,0.6312888081057616,-0.06031437009429408,0.6916031782000558,35.9633652664029
41,0.75,480,368,433,0.9458179327598271,-0.012119744227280653,0.9579376769871076,49.8127592033296
41,1.0,480,368,433,1.143528101036941,-0.07266661896876021,1.216194720005701,63.242125440296455
42,0.0,480,361,440,0.11223612000676897,0.016977409811342638,0.09525871019542632,4.953452930162169
